Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Disability status],[Education level],[Freq],[Location],[Migratory status],[Nature],[Observation Status],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product],[Units]
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,26423.95,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-1,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,33877.98,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-2,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,16009.23,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,_T,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,9556.46,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-5,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,10151.99,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-6,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,19934.34,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-0,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,10325.52,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-7,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,14933.25,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,_T,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,11985.34,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-7,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,21175.67,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-3,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,13091.17,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-8,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,10327.17,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-9,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,11468.62,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-5,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,9814.42,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,BOTHSEX,isco08-6,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,10471.58,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,MALE,isco08-9,,CUR_LCU
8.0,8.5,8.5.1,SL_EMP_EARN,Average hourly earnings of employees by sex and occupation (local currency),600.0,Paraguay,2019.0,18937.35,2019,,,,,Source: HS - Continuous Permanent Household Survey,,Repository: ILO-STATISTICS - Micro data processing | Local currency: PRY - Guarani(PYG),,,,,,,,C,A,,G,FEMALE,isco08-3,,CUR_LCU
