Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Freq],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Tariff regime (status)],[Type of product],[Type of speed],[Units]
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,11.364,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,14.05899,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,17.22489,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,20.0,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,17.08757,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2010.0,10.0,2010.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,5.43995,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,IND,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,14.52021,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ARM,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,15.0,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,CLO,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,5.0,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,OIL,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,9.65933,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,TEX,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,17.86896,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,AGR,,PERCENT
17.0,17.1,17.10.1,TM_TAX_WMFN,"Worldwide weighted tariff-average, most-favoured-nation status, by type of product (%)",170.0,Colombia,2015.0,6.99019,2015.0,,,,,"Market Access Map data, International Trade Centre (ITC)",,,,,,,C,,G,,,ALP,,PERCENT
